No,Reference,SMPname,Smiles,Molar ratio,Tg,High Temp
174,"Cheng et al , 2020[25]",DER-NMA-0.15TEOA5,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC2=CC(C)(C)C1C(=O)OC(=O)C1C2C, OCCN(CCO)CCO}",0.465:0.465:0.07,124.1,128.94
175,"Cheng et al , 2020[25]",DER-NMA-0.2TEOA,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC2=CC(C)(C)C1C(=O)OC(=O)C1C2C, OCCN(CCO)CCO}",0.45:0.45:0.1,119,124.08
176,"Chen et al, 2018[28]",EVC3S7,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, O=C(O)CCCCCCCCC(=O)O, O=C(O)C1CCC(C(=O)O)CC1}",0.5:0.35:0.15,46.6,35.7
177,"Chen et al, 2018[28]",EVC4S6,"{CC(C)(c2ccc(OCC1CC1)cc2)c4ccc(OCC3CO3)cc4, O=C(O)CCCCCCCCC(=O)O, O=C(O)C1CCC(C(=O)O)CC1}",0.5:0.3:0.2,50.3,42.71
178,"Xie et al, 2009[30]", DA1,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CCCCCCCCCCN}",0.62:0.23:0.15,76.31,79.27
179,"Xie et al, 2009[30]",DA2,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CCCCCCCCCCN}",0.57:0.14:0.29,64.53,68.91
180,"Xie et al, 2009[30]",DA3,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CCCCCCCCCCN}",0.53:0.07:0.4,76.31,53.65
181,"Xie et al, 2009[30]",NGDE1,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CC(C)(COCC1CO1)COCC2CO2}",0.5:0.33:0.17,57.87,72.66
182,"Xie et al, 2009[30]",NGDE2,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CC(C)(COCC1CO1)COCC2CO2}",0.34:0.33:0.33,37.64,52.04
183,"Xie et al, 2009[30]",NGDE3,"{CC(C)(c2ccc(OCC1CO1)cc2)c4ccc(OCC3CO3)cc4, CC(N)COCC(C)OCC(C)OCC(C)N, CC(C)(COCC1CO1)COCC2CO2}",0.17:0.33:0.5,23.17,31.99
